entrez-gene-symbol	disease_name
BBS4	Rare multisystem ciliopathy Super panel
BBS5	Rare multisystem ciliopathy Super panel
BBS7	Rare multisystem ciliopathy Super panel
BBS9	Rare multisystem ciliopathy Super panel
C21orf2	Rare multisystem ciliopathy Super panel
C2CD3	Rare multisystem ciliopathy Super panel
C5orf42	Rare multisystem ciliopathy Super panel
CC2D2A	Rare multisystem ciliopathy Super panel
CENPF	Rare multisystem ciliopathy Super panel
CEP104	Rare multisystem ciliopathy Super panel
CEP120	Rare multisystem ciliopathy Super panel
CEP164	Rare multisystem ciliopathy Super panel
CEP290	Rare multisystem ciliopathy Super panel
CEP41	Rare multisystem ciliopathy Super panel
CEP83	Rare multisystem ciliopathy Super panel
CRB2	Rare multisystem ciliopathy Super panel
CSPP1	Rare multisystem ciliopathy Super panel
DDX59	Rare multisystem ciliopathy Super panel
DHCR7	Rare multisystem ciliopathy Super panel
DYNC2H1	Rare multisystem ciliopathy Super panel
DYNC2LI1	Rare multisystem ciliopathy Super panel
EVC	Rare multisystem ciliopathy Super panel
EVC2	Rare multisystem ciliopathy Super panel
GLI3	Rare multisystem ciliopathy Super panel
HNF1B	Rare multisystem ciliopathy Super panel
HYLS1	Rare multisystem ciliopathy Super panel
ICK	Rare multisystem ciliopathy Super panel
IFT122	Rare multisystem ciliopathy Super panel
IFT140	Rare multisystem ciliopathy Super panel
IFT172	Rare multisystem ciliopathy Super panel
IFT43	Rare multisystem ciliopathy Super panel
IFT52	Rare multisystem ciliopathy Super panel
IFT80	Rare multisystem ciliopathy Super panel
IFT81	Rare multisystem ciliopathy Super panel
INPP5E	Rare multisystem ciliopathy Super panel
INVS	Rare multisystem ciliopathy Super panel
IQCB1	Rare multisystem ciliopathy Super panel
KIAA0586	Rare multisystem ciliopathy Super panel
KIAA0753	Rare multisystem ciliopathy Super panel
KIF7	Rare multisystem ciliopathy Super panel
LBR	Rare multisystem ciliopathy Super panel
LZTFL1	Rare multisystem ciliopathy Super panel
MAPKBP1	Rare multisystem ciliopathy Super panel
MKKS	Rare multisystem ciliopathy Super panel
MKS1	Rare multisystem ciliopathy Super panel
NEK1	Rare multisystem ciliopathy Super panel
NEK8	Rare multisystem ciliopathy Super panel
NPHP1	Rare multisystem ciliopathy Super panel
NPHP3	Rare multisystem ciliopathy Super panel
NPHP4	Rare multisystem ciliopathy Super panel
OFD1	Rare multisystem ciliopathy Super panel
PIK3C2A	Rare multisystem ciliopathy Super panel
PKD1	Rare multisystem ciliopathy Super panel
PKD2	Rare multisystem ciliopathy Super panel
PKHD1	Rare multisystem ciliopathy Super panel
PMM2	Rare multisystem ciliopathy Super panel
RPGRIP1L	Rare multisystem ciliopathy Super panel
SBDS	Rare multisystem ciliopathy Super panel
SCLT1	Rare multisystem ciliopathy Super panel
SDCCAG8	Rare multisystem ciliopathy Super panel
TCTEX1D2	Rare multisystem ciliopathy Super panel
TCTN1	Rare multisystem ciliopathy Super panel
TCTN2	Rare multisystem ciliopathy Super panel
TCTN3	Rare multisystem ciliopathy Super panel
TMEM107	Rare multisystem ciliopathy Super panel
TMEM138	Rare multisystem ciliopathy Super panel
TMEM216	Rare multisystem ciliopathy Super panel
TMEM231	Rare multisystem ciliopathy Super panel
TMEM237	Rare multisystem ciliopathy Super panel
TMEM67	Rare multisystem ciliopathy Super panel
TRAF3IP1	Rare multisystem ciliopathy Super panel
TTC21B	Rare multisystem ciliopathy Super panel
TTC8	Rare multisystem ciliopathy Super panel
TXNDC15	Rare multisystem ciliopathy Super panel
VPS13B	Rare multisystem ciliopathy Super panel
WDPCP	Rare multisystem ciliopathy Super panel
WDR19	Rare multisystem ciliopathy Super panel
WDR34	Rare multisystem ciliopathy Super panel
WDR35	Rare multisystem ciliopathy Super panel
WDR60	Rare multisystem ciliopathy Super panel
ZSWIM6	Rare multisystem ciliopathy Super panel
AHI1	Cystic renal disease
ALG8	Cystic renal disease
ALG9	Cystic renal disease
ALMS1	Cystic renal disease
ANKS6	Cystic renal disease
ARL13B	Cystic renal disease
ARL6	Cystic renal disease
B9D2	Cystic renal disease
BBS1	Cystic renal disease
BBS10	Cystic renal disease
BBS12	Cystic renal disease
BBS2	Cystic renal disease
BBS4	Cystic renal disease
BBS5	Cystic renal disease
BBS7	Cystic renal disease
BBS9	Cystic renal disease
C5orf42	Cystic renal disease
CC2D2A	Cystic renal disease
CENPF	Cystic renal disease
CEP104	Cystic renal disease
CEP164	Cystic renal disease
CEP290	Cystic renal disease
CEP41	Cystic renal disease
CEP83	Cystic renal disease
COL4A1	Cystic renal disease
CRB2	Cystic renal disease
CSPP1	Cystic renal disease
DDX59	Cystic renal disease
DHCR7	Cystic renal disease
DNAJB11	Cystic renal disease
DYNC2H1	Cystic renal disease
DZIP1L	Cystic renal disease
GANAB	Cystic renal disease
HNF1B	Cystic renal disease
HYLS1	Cystic renal disease
ICK	Cystic renal disease
IFT122	Cystic renal disease
IFT140	Cystic renal disease
IFT172	Cystic renal disease
IFT43	Cystic renal disease
INPP5E	Cystic renal disease
INVS	Cystic renal disease
IQCB1	Cystic renal disease
KIAA0586	Cystic renal disease
KIAA0753	Cystic renal disease
KIF7	Cystic renal disease
LZTFL1	Cystic renal disease
MAPKBP1	Cystic renal disease
MKKS	Cystic renal disease
MKS1	Cystic renal disease
NEK8	Cystic renal disease
NPHP1	Cystic renal disease
NPHP3	Cystic renal disease
NPHP4	Cystic renal disease
OFD1	Cystic renal disease
PKD1	Cystic renal disease
PKD2	Cystic renal disease
PKHD1	Cystic renal disease
PMM2	Cystic renal disease
RPGRIP1L	Cystic renal disease
SDCCAG8	Cystic renal disease
TCTN1	Cystic renal disease
TCTN2	Cystic renal disease
TCTN3	Cystic renal disease
TMEM107	Cystic renal disease
TMEM138	Cystic renal disease
TMEM216	Cystic renal disease
TMEM231	Cystic renal disease
TMEM237	Cystic renal disease
TMEM67	Cystic renal disease
TRAF3IP1	Cystic renal disease
TSC1	Cystic renal disease
TSC2	Cystic renal disease
TTC21B	Cystic renal disease
TTC8	Cystic renal disease
TXNDC15	Cystic renal disease
UMOD	Cystic renal disease
VHL	Cystic renal disease
WDPCP	Cystic renal disease
WDR19	Cystic renal disease
WDR35	Cystic renal disease
WDR60	Cystic renal disease
ADAMTS3	Primary lymphoedema
BRAF	Primary lymphoedema
CBL	Primary lymphoedema
CCBE1	Primary lymphoedema
CELSR1	Primary lymphoedema
CHD7	Primary lymphoedema
EPHB4	Primary lymphoedema
FAT4	Primary lymphoedema
FLT4	Primary lymphoedema
FOXC2	Primary lymphoedema
GATA2	Primary lymphoedema
GJA1	Primary lymphoedema
GJC2	Primary lymphoedema
HRAS	Primary lymphoedema
IKBKG	Primary lymphoedema
KIF11	Primary lymphoedema
KRAS	Primary lymphoedema
LZTR1	Primary lymphoedema
MAP2K1	Primary lymphoedema
MAP2K2	Primary lymphoedema
NF1	Primary lymphoedema
NRAS	Primary lymphoedema
NSD1	Primary lymphoedema
PIEZO1	Primary lymphoedema
PMM2	Primary lymphoedema
PPP1CB	Primary lymphoedema
PTPN11	Primary lymphoedema
PTPN14	Primary lymphoedema
RAF1	Primary lymphoedema
RASA1	Primary lymphoedema
RIT1	Primary lymphoedema
SHANK3	Primary lymphoedema
SHOC2	Primary lymphoedema
SOS1	Primary lymphoedema
SOS2	Primary lymphoedema
SOX18	Primary lymphoedema
SPRED1	Primary lymphoedema
TSC1	Primary lymphoedema
